File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,iter,bit,DI
6372,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,37,99
594,readA,167,A,-3.725290298461914e-09,5.607287036348365e-11,3.477422681e-07,Masked,0,19,9
12019,matvec,25,Ap,-512.0,0.27746051401394456,0.0064359079248951,Masked,1,52,187
9603,waxpby,33,r,-2.273736754432321e-13,1.5941683104012389e-15,3.477474097e-07,Masked,0,4,150
43858,daxpby,40,y,-5.820766091346741e-11,5.8204644169149e-11,3.477474097e-07,Masked,5,19,685
47008,matvec,25,Ap,-4.76837158203125e-07,8.212850880694682e-07,3.477474097e-07,Masked,6,33,734
442,readA,167,A,9.217380534379636e+19,1.8446744073709552e+19,7.929348694662014e+36,SDC,0,59,6
44366,daxpby,40,y,-7.1002231871730714e-15,-2.8992694816122024e-12,3.477474109e-07,Masked,5,15,693
37430,daxpby,40,y,0.0057753460260843,-0.9375000000000031,0.0006879184752489,Masked,4,55,584
7885,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,14,123
22517,dot,57,sum,447904.6556590325,3.0,1.210780388880611,SDC,2,54,351
19879,matvec,25,Ap,-0.125,8.83865860916658e-05,0.0001692624676851,Masked,2,40,310
39087,solve_cg,87,normr,-0.0078125,0.023870314805535482,3.477474097e-07,Masked,5,48,610
20305,matvec,25,Ap,2.9802322387695312e-08,-1.608433517329681e-11,3.477471246e-07,Masked,2,18,317
16994,dot_r2,48,sum,-0.00390625,1.932047098356867e-06,3.360230563e-07,Masked,2,35,265
37650,daxpby,40,y,4.547005133526128e-13,-5.5522149545397936e-11,3.477474083e-07,Masked,4,19,588
24302,dot_r2,48,sum,2.0,0.010313984433336025,0.0047656877109203,Masked,3,47,379
35149,matvec,25,Ap,-2.274014310188477e-13,9.38990788388954e-13,3.477474095e-07,Masked,4,14,549
37395,daxpby,40,y,4.546996459908748e-13,-7.381045502575126e-11,3.477474414e-07,Masked,4,20,584
10539,waxpby,33,r,-0.25,0.001185927874712887,0.0057580369803181,Masked,1,44,164
17852,daxpby,40,y,-9.35032562537241e+77,-1.157920892373162e+77,61.554241929841226,SDC,2,61,278
