File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,iter,bit
4204,dot_r2,48,sum,128.0,0.24549282900119362,0.0039387114920798,Masked,2,49
12303,matvec,25,Ap,4.628509713241529e+307,inf,3.477474097e-07,Masked,6,61
2957,matvec,25,Ap,-24745.731881629687,0.9375,2.1531027888984133,SDC,1,53
5086,matvec,25,Ap,-3.4179579570108924e+22,-1.8446744073709552e+19,133.72163765790575,SDC,2,57
8527,matvec,25,Ap,-33.058441236361794,1.0,0.0007153820647178,Masked,4,61
1835,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,init,45
7868,solve_cg,84,beta,0.0078125,0.2306978129871993,0.0190861272044505,Masked,4,49
4655,matvec,25,Ap,-437.32596875658555,1.0,0.037614962398637,Masked,2,61
11021,daxpby,40,y,30.001064160443605,15.0,3.477474097e-07,Masked,5,53
8511,matvec,25,Ap,-36.073289310701114,1.0,0.002903510231974,Masked,4,61
10287,matvec,25,Ap,8.741995974775906,-1.0,0.0255398016335143,Masked,5,61
2445,dot_r2,48,sum,-36757.87099050938,0.9375000000000001,0.4809868557164165,SDC,init,53
2668,waxpby,33,r,32.0,0.20348972154339323,0.0137503351552539,Masked,1,49
7887,daxpby,40,y,8.712837745602925e+306,inf,nan,DUE,4,61
11279,dot_r2,48,sum,1.801522715588193e+304,1.7976931348615052e+308,nan,DUE,6,61
7388,dot,57,sum,2048.0,0.2021504706695573,0.0062928379850074,Masked,3,49
1756,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,init,49
8830,matvec,25,Ap,-2.337418996216401e+20,-1.8446744073709552e+19,1.4218302217524046,SDC,4,57
12940,daxpby,40,y,-6.103515625e-05,-0.14599450208630044,3.477474097e-07,Masked,6,49
462,readA,167,A,6.766472329770289e+19,1.8446744073709552e+19,6.580707985493397e+30,SDC,init,57
1389,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,init,53
4251,dot_r2,48,sum,16.0,0.007913664914869728,0.0259937214205774,Masked,2,45
1325,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,init,53
7359,dot,57,sum,-8341.336755588422,1.0,158.26647247237997,SDC,3,61
10508,matvec,25,Ap,-0.03125,-0.1598177043788198,0.0001682609808397,Masked,5,49
8508,matvec,25,Ap,8.0,0.22177073820730858,0.0415603358074075,Masked,4,49
2237,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,init,53
12541,matvec,25,Ap,0.6231055615015066,15.000000000000004,3.477474097e-07,Masked,6,53
5871,daxpby,40,y,2.2035735166836723,-1.0,0.0038157073587063,Masked,2,61
10063,matvec,25,Ap,nan,nan,nan,DUE,5,61
1068,readB,175,b,32.0,0.15179876796324954,0.0021912140428751,Masked,init,49
12220,matvec,25,Ap,-0.015625,0.18851901775057453,3.477474097e-07,Masked,6,49
3309,matvec,25,Ap,-8983.10083844325,0.9375,0.0326043166948076,Masked,1,53
10140,matvec,25,Ap,1.0,0.16645686679231297,0.0047078995001312,Masked,5,49
11663,matvec,25,Ap,-2.2739759914663023e+307,-inf,3.477474097e-07,Masked,6,61
8476,matvec,25,Ap,-4.0,0.17095844541562774,0.0146813050325856,Masked,4,49
8603,matvec,25,Ap,1.0,0.014991461899657312,0.002587147901397,Masked,4,45
3614,matvec,25,Ap,3.630992047813382e+23,1.8446744073709552e+19,2662.9721880998413,SDC,1,57
10813,dot,57,sum,-0.7317633833097594,0.9375,0.0310856659698729,Masked,5,53
477,readA,167,A,166.28834999999998,15.0,382.9467938261608,SDC,init,53
6046,dot_r2,48,sum,3.0168139931604096e+21,1.8446744073709552e+19,2895.315645473166,SDC,3,57
11630,matvec,25,Ap,0.0781316606089772,-1.0,3.477474097e-07,Masked,6,57
171,readA,167,A,-0.125,0.008685398871731944,0.005531404369195,Masked,init,45
6892,matvec,25,Ap,64.0,0.16229055013866595,0.0028262774511127,Masked,3,49
4542,matvec,25,Ap,-2.654382235749914e+22,-1.8446744073709552e+19,128.98092626041998,SDC,2,57
12207,matvec,25,Ap,8.794497542515173e+306,inf,3.477474097e-07,Masked,6,61
8236,matvec,25,Ap,1.0,-0.1267844849413894,0.001582328025209,Masked,4,49
4159,daxpby,40,y,9.831711061632376,-1.0,0.0219443504482804,Masked,1,61
3803,dot,57,sum,-262144.0,0.01365647628275079,0.0443369076271462,Masked,1,45
5582,dot,57,sum,1.8310153184084413e+24,1.8446744073709552e+19,3.9313907747507213,SDC,2,57
4123,daxpby,40,y,0.25,-0.011193699365242227,0.0057870422081657,Masked,1,45
4109,daxpby,40,y,375.95497834036007,14.999999999999998,29.417975205461588,SDC,1,53
12268,matvec,25,Ap,0.0625,0.2092086400230118,3.477474097e-07,Masked,6,49
2925,matvec,25,Ap,-21092.464967921627,0.9375000000000001,0.8257633602852426,SDC,1,53
12588,dot,57,sum,-0.0009765625,0.18859894482171066,3.477474097e-07,Masked,6,49
5151,matvec,25,Ap,327.4780244875517,-1.0,0.0199703544677982,Masked,2,61
6686,matvec,25,Ap,-2.669679425947974e+21,-1.8446744073709552e+19,246.41855498632253,SDC,3,57
5630,dot,57,sum,2.7541275174550587e+24,1.8446744073709552e+19,3.9313907747507213,SDC,2,57
12221,matvec,25,Ap,1.2432432695469298,14.999999999999998,3.477474097e-07,Masked,6,53
4463,daxpby,40,y,8.0750988145735,-1.0,0.0123544438877991,Masked,2,61
2911,matvec,25,Ap,-21290.110293626,1.0,0.8790101053830173,SDC,1,61
6845,matvec,25,Ap,-296.14755966688807,0.9375,0.5037130932086494,SDC,3,53
2459,dot_r2,48,sum,-1024.0,0.011127129444025295,0.0082770595545884,Masked,init,45
10075,matvec,25,Ap,-0.0625,0.008631228328618845,0.0001867816781214,Masked,5,45
2939,matvec,25,Ap,256.0,0.010570647238196852,0.0057584053794735,Masked,1,45
10860,dot,57,sum,0.5,0.16339249164584216,0.0129747092239948,Masked,5,49
10334,matvec,25,Ap,-0.3489585020675161,1.0,0.0010627697721333,Masked,5,57
12027,matvec,25,Ap,-0.001953125,-0.009205956148318343,3.477474097e-07,Masked,6,45
926,readA,167,A,1.28276850507657e+20,1.8446744073709552e+19,nan,DUE,init,57
11134,daxpby,40,y,-0.00186395635052,1.0,0.0001227350408075,Masked,5,57
5262,matvec,25,Ap,9.528783558677346e+21,1.8446744073709552e+19,239.19795400790213,SDC,2,57
2779,matvec,25,Ap,-256.0,0.013677029739010317,0.0055503124739145,Masked,1,45
12299,matvec,25,Ap,-0.00390625,0.015171705890486225,3.477474097e-07,Masked,6,45
1326,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,init,57
5899,daxpby,40,y,0.015625,0.010562505160519665,0.0068500236970682,Masked,2,45
4015,daxpby,40,y,nan,nan,3.477474097e-07,Masked,1,61
4798,matvec,25,Ap,-3.2639804448853023e+22,-1.8446744073709552e+19,85.54064513218799,SDC,2,57
12446,matvec,25,Ap,0.0170782917627223,-1.0,3.477474097e-07,Masked,6,57
