File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,bit,DI
29876,FFT1DOnce,878,x1,-2.9103830456733704e-11,4.748417802459615e-11,1.137e-13,Masked,17,1867
367294,FFT1DOnce,874,x_c,-3.112299401030124e+20,-1.8446744073709552e+19,255.94696235180453,SDC,57,22955
252582,Transpose,803,dest,-1.4901161193847656e-08,-1.2603012837756018e-08,3.695e-13,Masked,25,15786
56487,TwiddleOneCol,709,tomega_r,5.960464483090178e-08,-2.2347531585602178e-07,0.0,Masked,29,3530
530784,Transpose,803,dest,-4.440892098500626e-16,4.732269687618561e-16,8.53e-14,Masked,1,33174
256228,Transpose,803,dest,1.1641532182693481e-10,4.4751694257554474e-11,2.842e-13,Masked,17,16014
277923,FFT1DOnce,869,x_r,1.4551915228366852e-11,2.18308793502581e-12,8.53e-14,Masked,13,17370
343427,FFT1DOnce,871,tau_r,-2.9103830456733704e-11,2.2711517223160565e-12,2.274e-13,Masked,13,21464
135734,TwiddleOneCol,712,tx_c,1.1920928955078125e-07,1.3635091257185797e-08,1.192093748e-07,Masked,25,8483
435708,FFT1DOnce,870,x_c,-1.0,0.1406181568202031,2.84e-14,Masked,49,27231
147331,FFT1DOnce,867,omega_r,3.637978807091713e-12,3.637978807091713e-12,1.3452e-10,Masked,13,9208
523826,Scale,726,x,1.1368683772161603e-13,1.183299366528769e-13,1.99e-13,Masked,9,32739
433876,FFT1DOnce,876,x2,9.313225746154785e-10,3.894801057925453e-11,8.53e-14,Masked,17,27117
469179,FFT1DOnce,870,x_c,-0.125,-0.009716584831329098,1.137e-13,Masked,45,29323
539180,CopyColumn,819,dest,-0.0625,0.1309210056618289,0.0624999999999147,SDC,49,33698
297145,TwiddleOneCol,712,tx_c,0.000244140625,-5.00159000764647e-05,1.137e-13,Masked,37,18571
447440,FFT1DOnce,868,omega_c,0.0,0,8.53e-14,Masked,1,27965
504581,FFT1DOnce,871,tau_r,3.725290298461914e-09,5.491192361656282e-10,5.68e-14,Masked,21,31536
292087,FFT1DOnce,878,x1,-9.5367431640625e-07,-1.674447133498726e-07,5.116e-13,Masked,29,18255
421068,FFT1DOnce,871,tau_r,-4.0,-0.24964632307804183,2.84e-14,Masked,49,26316
462555,FFT1DOnce,872,tau_c,0.25,0.013451690740326858,5.68e-14,Masked,45,28909
511579,FFT1DOnce,868,omega_c,0.0,0,8.53e-14,Masked,45,31973
450006,FFT1DOnce,872,tau_c,1.1920928955078125e-07,-1.1255592003528705e-08,5.68e-14,Masked,25,28125
274756,Reverse,832,x,5.820766091346741e-11,-5.1386697136267126e-11,6.537e-13,Masked,17,17172
35035,FFT1DOnce,876,x2,0.000244140625,0.008434942074255538,5.68e-14,Masked,45,2189
539678,CopyColumn,820,dest,-0.3635766576764752,1.0,0.3635766576763899,SDC,57,33729
476535,FFT1DOnce,878,x1,-9.5367431640625e-07,-1.5928029291417194e-07,5.68e-14,Masked,29,29783
460423,Scale,725,x,1.1920928955078125e-07,1.6273869578742985e-07,1.192093748e-07,Masked,29,28776
91623,FFT1DOnce,873,x_r,-2.384185791015625e-07,1.9134473950585443e-07,2.384185507e-07,Masked,29,5726
317908,FFT1DOnce,872,tau_c,2.3283064365386963e-10,3.4603064287265106e-11,3.411e-13,Masked,17,19869
272055,Transpose,804,dest,-2.384185791015625e-07,-1.479517822466312e-07,1.99e-13,Masked,29,17003
116153,FFT1DOnce,870,x_c,1.52587890625e-05,3.516901660263532e-05,1.52587891193e-05,Masked,37,7259
185196,FFT1DOnce,869,x_r,-0.0625,0.13874364260411978,1.421e-13,Masked,49,11574
316818,FFT1DOnce,876,x2,1.8189894035458565e-12,-1.3622037463003154e-13,1.421e-13,Masked,9,19801
287132,FFT1DOnce,868,omega_c,-0.125,0.1250000000008433,3.126e-13,Masked,49,17945
367131,FFT1DOnce,876,x2,0.125,0.009049665770821945,1.421e-13,Masked,45,22945
9629,FFT1DOnce,872,tau_c,-0.6769052755988358,0.9375,0.6769052755988128,SDC,53,601
25665,FFT1DOnce,867,omega_r,1.4210854715202004e-14,1.4210854715202004e-14,5.68e-14,Masked,5,1604
266226,CopyColumn,820,dest,-9.094947017729282e-13,1.2868568322222972e-13,1.705e-13,Masked,9,16639
108898,FFT1DOnce,873,x_r,-5.678790770957676e-14,-1.942327615944889e-13,1.137e-13,Masked,9,6806
446434,Scale,725,x,1.1368683772161603e-13,1.6527617974429132e-13,1.99e-13,Masked,9,27902
283550,FFT1DOnce,872,tau_c,6.438475142839428e+19,1.8446744073709552e+19,447.94696235180453,SDC,57,17721
142728,Transpose,803,dest,-1.9073486328125e-06,-2.3198927839129874e-06,1.421e-13,Masked,33,8920
532153,Transpose,804,dest,9.536743164027806e-07,4.531675154490432e-05,9.536744017e-07,Masked,37,33259
305235,TwiddleOneCol,715,tx,5.820766091346741e-11,3.533108484648269e-12,8.53e-14,Masked,13,19077
401235,FFT1DOnce,872,tau_c,-2.9103830456733704e-11,-3.6264172400912602e-12,1.99e-13,Masked,13,25077
467684,Scale,725,x,-2.9103830456733704e-11,4.1181499318437335e-11,2.90186e-11,Masked,17,29230
14473,FFT1DOnce,875,x2,6.103515625e-05,4.1171780230808824e-05,1.137e-13,Masked,37,904
144631,Transpose,804,dest,-2.384185791015625e-07,-2.1702694349209875e-07,1.137e-13,Masked,29,9039
258483,CopyColumn,820,dest,7.275957614183426e-12,-2.2334744374637267e-12,1.137e-13,Masked,13,16155
336424,FFT1DOnce,877,x1,-6.103515625e-05,3.44861727474193e-06,8.53e-14,Masked,33,21026
267463,Transpose,803,dest,-4.76837158203125e-07,-1.6288627670664898e-07,1.99e-13,Masked,29,16716
150671,FFT1DOnce,871,tau_r,1.5177558145956416e+308,inf,nan,DUE,61,9416
58493,FFT1DOnce,878,x1,-0.7471007596646029,0.9375,0.7471007596645052,SDC,53,3655
533044,CopyColumn,820,dest,-2.9103830456733704e-11,3.094038959331067e-11,2.90186e-11,Masked,17,33315
103312,FFT1DOnce,872,tau_c,1.6653345369377348e-16,-3.53957834044714e-16,8.53e-14,Masked,1,6457
392356,FFT1DOnce,869,x_r,9.313225746154785e-10,5.101649287948825e-11,1.137e-13,Masked,17,24522
42599,FFT1DOnce,869,x_r,-3.725290298461914e-09,-2.2812722254084888e-07,5.68e-14,Masked,29,2662
55818,TwiddleOneCol,709,tomega_r,-0.00048828125,0.0008788860501185802,2.84e-14,Masked,41,3488
234513,FFT1DOnce,868,omega_c,0.0,0,8.53e-14,Masked,5,14657
7204,Transpose,803,dest,2.9103830456733704e-11,3.7489374745935474e-11,2.91607e-11,Masked,17,450
343396,FFT1DOnce,869,x_r,-2.3283064365386963e-10,5.438211657096616e-11,3.126e-13,Masked,17,21462
475880,FFT1DOnce,873,x_r,-6.103515625e-05,2.993657837242895e-06,0.0,Masked,33,29742
349857,FFT1DOnce,877,x1,-5.684341886080802e-14,-1.2461534262717417e-14,5.68e-14,Masked,5,21866
407219,Transpose,804,dest,5.820766091346741e-11,-2.25797905598901e-12,2.84e-14,Masked,13,25451
246154,FFT1DOnce,875,x2,-0.001953125,-0.0005642989085319928,2.842e-13,Masked,41,15384
135024,FFT1DOnce,874,x_c,-1.6653345369377348e-16,-6.258154303064421e-16,8.53e-14,Masked,1,8439
118895,FFT1DOnce,873,x_r,nan,nan,nan,DUE,61,7430
115342,FFT1DOnce,867,omega_r,-1.0,1.0,1.2306656080420169,SDC,57,7208
424501,FFT1DOnce,870,x_c,-2.9802322387695312e-08,-4.901586139567069e-10,8.53e-14,Masked,21,26531
382526,FFT1DOnce,878,x1,2.153764830628199e+20,1.8446744073709552e+19,1282.9867667480607,SDC,57,23907
103692,TwiddleOneCol,714,tx,0.0625,-0.17016247688143005,2.84e-14,Masked,49,6480
299216,FFT1DOnce,868,omega_c,0.0,0,8.53e-14,Masked,1,18701
500995,FFT1DOnce,871,tau_r,-5.820766091346741e-11,-3.157699100548382e-12,8.53e-14,Masked,13,31312
447962,FFT1DOnce,876,x2,-0.0078125,-0.0008598902953247922,5.68e-14,Masked,41,27997
281975,TwiddleOneCol,712,tx_c,3.0517578125e-05,1.8768379798135655e-07,1.9073487181e-06,Masked,29,17623
338735,TwiddleOneCol,714,tx,8.307822075723372,-1.0,2.84e-14,Masked,61,21170
501803,FFT1DOnce,873,x_r,2.0,0.008318756711031036,0.0156250000000853,Masked,45,31362
187876,FFT1DOnce,869,x_r,-1.1641532182693481e-10,4.552933554651141e-11,2.84e-14,Masked,17,11742
264375,CopyColumn,820,dest,9.5367431640625e-07,-2.2963684176975063e-07,1.99e-13,Masked,29,16523
182302,FFT1DOnce,868,omega_c,0.0,0,8.53e-14,Masked,57,11393
