File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,iter,bit,DI
43101,matvec,25,Ap,-7.450580596923828e-09,9.350329756151137e-08,3.477023456e-07,Masked,5,30,673
15563,solve_cg,90,p_ap_dot,1.52587890625e-05,3.745693945021293e-13,3.477474044e-07,Masked,1,12,243
2152,readA,167,A,0.001953125,0.00017863496137140433,4.67241637715e-05,Masked,0,41,33
33130,matvec,25,Ap,0.000244140625,0.00054052619722591,1.892972665e-07,Masked,4,43,517
42196,matvec,25,Ap,1.1641532182693481e-10,-2.021898222360267e-10,3.477478394e-07,Masked,5,21,659
196,readA,167,A,-2.842170943040401e-14,2.072083268416629e-15,3.477474097e-07,Masked,0,5,3
35927,matvec,25,Ap,7.450580596923828e-09,-1.6607903708846128e-09,3.477498579e-07,Masked,4,24,561
6414,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,15,100
50619,dot,57,sum,-0.0090746174752583,1.0,3.477474097e-07,Masked,6,60,790
33303,matvec,25,Ap,5.960464477539063e-08,-1.2385546747475735e-09,3.477086657e-07,Masked,4,24,520
21781,matvec,25,Ap,-5.960464477539063e-08,-2.480385681356972e-10,3.477479902e-07,Masked,2,22,340
4576,readB,175,b,-0.0001220703125,6.591995689589998e-07,3.317303312e-07,Masked,0,33,71
34083,matvec,25,Ap,-0.000244140625,7.3851221010222256e-06,2.605316163e-07,Masked,4,36,532
12160,matvec,25,Ap,3.637978807091713e-12,1.702630253309319e-16,3.477474097e-07,Masked,1,1,190
21621,matvec,25,Ap,98.02165236440487,-0.75,0.0056287082290625,Masked,2,54,337
44901,solve_cg,82,oldrtrans,1.9073486327986222e-06,1.7805997778475643e-05,3.477474097e-07,Masked,6,38,701
47759,matvec,25,Ap,-1.1370071550942384e-13,5.653806521500096e-12,3.477474097e-07,Masked,6,16,746
2260,readA,167,A,-4.656612873077393e-10,1.2694849211467352e-10,3.477475827e-07,Masked,0,21,35
40701,matvec,25,Ap,1.5805420290595127,-1.0,0.0180363743996052,Masked,5,62,635
47999,matvec,25,Ap,0.5116811751038788,-2.0,3.477474097e-07,Masked,6,64,749
20528,matvec,25,Ap,64.0,-0.036069866771600276,0.0046160568749413,Masked,2,49,320
44347,daxpby,40,y,6.805973528214367e+38,3.402823669209385e+38,3.477474097e-07,Masked,5,60,692
38538,daxpby,40,y,1.429412144204889e-14,-1.2404932625253626e-13,3.47747412e-07,Masked,5,11,602
40766,matvec,25,Ap,nan,nan,nan,DUE,5,63,636
45073,dot_r2,48,sum,1.7000019014029588e-15,1.6963881281984284e-11,3.477474723e-07,Masked,6,18,704
24058,dot_r2,48,sum,1.6400750685709997e+21,1.8446744073709552e+19,2895.3156454731716,SDC,3,59,375
49096,matvec,25,Ap,-1.4210854715202004e-14,5.1677726151451486e-14,3.477474097e-07,Masked,6,9,767
20529,matvec,25,Ap,128.0,-0.07213973354320055,0.0023900454354106,Masked,2,50,320
38393,dot_r2,48,sum,-0.1071183236167864,0.9999999997671697,0.014170005960729,Masked,5,58,599
35751,matvec,25,Ap,0.000244140625,-9.630326315189776e-05,4.280387587e-07,Masked,4,40,558
29885,daxpby,40,y,2.6915018989224095e+154,1.3407807929942597e+154,3.477474097e-07,Masked,3,62,466
14108,matvec,25,Ap,-0.0001220703125,3.3825666617394124e-08,3.480993036e-07,Masked,1,29,220
12847,matvec,25,Ap,-512.0,0.02281258489062579,0.006377824011733,Masked,1,48,200
25784,matvec,25,Ap,3068221.2039228226,65535.0,37.186522479482,SDC,3,57,402
50885,daxpby,40,y,7.105427357601002e-15,7.105404712477802e-15,3.477474097e-07,Masked,6,6,795
16652,daxpby,40,y,2.9103830456733704e-11,8.92241251286357e-13,3.477474156e-07,Masked,1,13,260
50423,dot,57,sum,1.3712190920615586,255.0000000000012,3.477474097e-07,Masked,6,56,787
48485,matvec,25,Ap,-7.629394531194489e-06,-2.926297943715009e-05,3.477474097e-07,Masked,6,38,757
21753,matvec,25,Ap,-1590910246359.6794,-4294967295.0,32.838308389671774,SDC,2,58,339
32680,matvec,25,Ap,-0.00390625,-0.0001476498156292308,5.2483197955e-06,Masked,4,41,510
14199,matvec,25,Ap,-6104.401957833012,0.9960937500000001,0.0035281999185733,Masked,1,56,221
48256,matvec,25,Ap,0.0,0.0,3.477474097e-07,Masked,6,1,754
50171,matvec,25,Ap,-0.0415403707667671,1.0,3.477474097e-07,Masked,6,60,783
16752,solve_cg,82,oldrtrans,16384.0,0.053232132103418435,0.005476953642066,Masked,2,49,261
49145,matvec,25,Ap,-0.27498993802950317,0.9999999997671692,3.477474097e-07,Masked,6,58,767
8478,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,31,132
10335,solve_cg,76,normr,0.000244140625,4.4006518659005814e-07,3.477474097e-07,Masked,0,32,161
22903,daxpby,40,y,-1.1410845185941738,0.99609375,3.477474097e-07,Masked,2,56,357
25732,matvec,25,Ap,1.1368683772161603e-13,2.4282691549619817e-15,3.477474097e-07,Masked,3,5,402
